,date,1st mth,2nd mth,VIX,current_expire,previous_expire,next_expire,TTM,Period,ratio1,ratio2,sa_ratio,wa_ratio,enter,setup_coef,open,close,volume,high,low,capital,daily_pnl,unrealized_pnl,realized_pnl,position,trade_logs,date_int
344,2012-05-15,21.85,23.9,21.97,2012-05-16,2012-04-18,2012-06-20,1 days 00:00:00.000000000,28 days 00:00:00.000000000,1.0054919908466817,0.9142259414225943,0.959858966134638,0.9174854431877403,True,0.3,19225000.0,20700000.0,0,20925000.0,18525000.0,18635.007623904414,0.0,0.0,0.0,0.0,closed by exit signal,20120515
345,2012-05-16,24.4,25.45,22.27,2012-05-16,2012-04-18,2012-06-20,0 days 00:00:00.000000000,28 days 00:00:00.000000000,0.912704918032787,0.9587426326129665,0.9357237753228768,0.9587426326129665,False,0.3,20300000.0,22150000.0,0,22375000.0,19750000.0,18635.007623904414,-509.47927247620436,-509.47927247620436,0.0,-0.00027539420133848884,hold,20120516
346,2012-05-17,26.2,26.7,24.49,2012-05-16,2012-04-18,2012-06-20,34 days 00:00:00.000000000,35 days 00:00:00.000000000,0.9347328244274808,0.9812734082397003,0.9580031163335906,0.9360625553935442,True,0.3,22000000.0,23825000.0,0,24050000.0,21425000.0,18125.52835142821,0.0,0.0,0.0,0.0,closed by exit signal,20120517
347,2012-05-18,28.2,28.15,25.1,2012-05-16,2012-04-18,2012-06-20,33 days 00:00:00.000000000,35 days 00:00:00.000000000,0.8900709219858157,1.0017761989342806,0.9459235604600482,0.8964540806685852,True,0.4,23575000.0,27000000.0,0,27950000.0,23400000.0,18125.52835142821,-789.9885633549303,-789.9885633549303,0.0,-0.00023065359514012565,hold,20120518
348,2012-05-21,24.25,25.85,22.01,2012-05-16,2012-04-18,2012-06-20,30 days 00:00:00.000000000,35 days 00:00:00.000000000,0.9076288659793815,0.9381044487427466,0.922866657361064,0.9119825206598623,True,0.3,26550000.0,21800000.0,0,27450000.0,21525000.0,18431.144364988875,1095.604576915597,0.0,305.6160135606666,-0.00023065359514012565,hold rebalance,20120521
349,2012-05-22,24.95,26.5,22.48,2012-05-16,2012-04-18,2012-06-20,29 days 00:00:00.000000000,35 days 00:00:00.000000000,0.9010020040080161,0.9415094339622642,0.9212557189851401,0.9079461348573158,True,0.3,21025000.0,22750000.0,0,24100000.0,19250000.0,18431.144364988875,-453.6559909099521,-453.6559909099521,0.0,-0.0002629889802376534,hold,20120522
350,2012-05-23,24.8,26.35,22.33,2012-05-16,2012-04-18,2012-06-20,28 days 00:00:00.000000000,35 days 00:00:00.000000000,0.9004032258064515,0.9411764705882353,0.9207898481973433,0.9085578747628082,True,0.3,24175000.0,21725000.0,0,25100000.0,21200000.0,18621.811375661175,644.3230015822508,0.0,190.66701067229866,-0.0002629889802376534,hold rebalance,20120523
351,2012-05-24,24.25,26.0,21.54,2012-05-16,2012-04-18,2012-06-20,27 days 00:00:00.000000000,35 days 00:00:00.000000000,0.8882474226804123,0.9326923076923077,0.9104698651863601,0.8984062535402741,True,0.4,21400000.0,22000000.0,0,23625000.0,20975000.0,18621.811375661175,-156.6320582999538,-156.6320582999538,0.0,-0.000261053430499923,hold,20120524
352,2012-05-25,24.55,26.1,21.76,2012-05-16,2012-04-18,2012-06-20,26 days 00:00:00.000000000,35 days 00:00:00.000000000,0.8863543788187374,0.9406130268199233,0.9134837028193303,0.9003066025904709,True,0.3,22100000.0,21800000.0,0,22550000.0,21700000.0,18621.811375661175,78.3160291499769,-78.3160291499769,0.0,-0.000261053430499923,hold,20120525
353,2012-05-29,23.0,24.8,21.03,2012-05-16,2012-04-18,2012-06-20,22 days 00:00:00.000000000,35 days 00:00:00.000000000,0.9143478260869565,0.9274193548387096,0.9208835904628331,0.9192029653376077,True,0.3,20875000.0,20000000.0,0,21400000.0,19825000.0,18771.91709819863,228.42175168743262,0.0,150.10572253745573,-0.000261053430499923,hold rebalance,20120529
